P29829	Q9NFZ3
Q9VUI3	Q9VQW7
P00528	Q9VYE7
P48810	109477
P48810	A1ZBR5
Q9VN86	P48810
P48810	Q961B9
Q9VXX0	P48810
P02825	Q9W1T0
P18053	Q9W3V5
Q9VKQ3	Q9U1I1
Q9U1I1	Q9V407
Q7JWV5	P40301
P08736	127547
P13060	A1Z8B1
A1ZA24	P29349
Q9VX43	P19339
P11147	Q9VVC2
Q8T3Y0	P29310
P02825	Q8T3Y0
Q9VH48	Q9VV94
Q9VV29	P00528
151022	Q9V345
A9UN61	Q9VH48
P08736	Q8IPC2
P33450	Q9VKY1
P05661	Q9V6A9
P02825	A1Z8V8
A1Z8R1	P19339
Q9VFS8	177649
Q7KN62	A1Z8H7
Q24297	Q9VJI7
Q9VLV5	Q9VJI7
P11147	Q9VRQ6
Q29QP1	P00528
Q7JZZ3	P19339
P17210	Q7JZZ3
Q9V6Q2	Q9V3F2
A1Z9G7	Q05856
Q9XZT0	Q08012
O18640	Q9VVR6
Q94899	Q9VVR6
85014	P49657
Q7K3W4	Q05856
P08736	Q7JZC9
Q9VUL2	Q24337
Q9VUL2	Q7K0L4
Q9VUL2	Q9V345
P00528	Q9W3R6
Q9V9J3	Q9W3R6
P13060	Q9W3J9
P55830	Q9W328
Q9VA79	P00528
P13060	Q9VYK7
P13060	P20354
P13060	Q9VR29
P13060	A1ZAC8
P13060	P19339
P13060	P25932
P13060	Q9W3Z5
P13060	P15425
P13060	Q9VV52
P13060	Q9V3U2
P13060	Q7K4Z4
P13060	161277
P13060	O97365
P13060	Q9VWZ1
P13060	O44437
P13060	Q9VX37
P13060	Q9VW25
P13060	Q9VJU5
P13060	Q9VXL1
P13060	Q9VXK9
P48609	Q9W3K8
Q7KN62	Q8SY59
Q7KN62	P05812
Q7KN62	Q9VUF3
P48609	Q9VYV9
Q9VHY5	Q24210
O18683	P00528
P12881	Q9W4V8
Q9VHW9	P29349
Q24210	Q9VPS5
Q9VCY3	Q9VPS5
P16371	P54366
Q9VPR4	Q8INB9
Q9W4P5	Q960X8
Q9VAD6	Q960X8
Q9V397	Q960X8
O46036	Q960X8
P11147	Q9VNE0
P48601	Q9VNE0
Q9W328	Q9W0F5
Q9W328	125021
Q95T12	98108
A8DYE2	A8MZR2
P05205	Q7K0W4
Q05856	A1ZBB4
Q9W4I4	Q94899
P49071	O61443
P49071	Q9VHK6
Q05856	Q8IMJ2
P17205	P19339
P00528	Q9VAE4
P11147	Q9I7H9
Q0KI14	P29845
Q9VW56	107965
P08736	208662
Q9VN50	Q9VDW6
Q9VER6	Q9VH48
Q9V407	Q9VF13
Q9VFL5	Q9VCZ8
Q9V9J3	138749
Q9V9J3	Q9VN49
Q9VNC4	Q24562
Q7K485	Q05856
O62621	Q9VK23
P08736	Q7JVG6
113263	Q9VYN8
Q9VHN7	Q9VZ44
P02825	Q8T965
Q9VTE5	Q8T965
Q9VCZ8	Q8T965
P84040	Q9VYS4
P46461	Q9W483
Q9W358	Q9V345
Q24337	P81900
Q9VDK3	Q94899
P46461	Q7KSD8
Q9W3R7	P13678
P17210	Q9VRI9
Q7KRW8	P19339
P49762	Q24574
Q7K0L4	Q95RG8
P05661	Q9VHG8
P16371	P32030
P54361	P19339
Q05856	Q9VR99
Q9VLV5	Q24297
Q24297	Q9W087
Q9VRT7	Q24297
P29310	Q9VKK3
P02825	Q9V3Z9
P05205	Q9VYW6
P08736	Q8SWW4
Q7K330	P00528
O18640	Q9VZZ6
Q9VFV2	Q24210
P17210	Q9VYW2
A1Z9C2	A8MZR2
Q24210	Q9VKN9
Q24210	Q9VKS2
O46339	P13678
O46339	Q960X8
O46339	P19339
P29829	Q9VKP6
P02825	Q9VGQ4
Q8IQI1	P31007
Q9VTR2	P31007
P31007	Q9W2I0
P31007	P11450
P31007	P13054
P31007	Q8IMX7
P31007	Q9VHA9
Q9W5X1	P31007
P31007	Q9VVC3
Q9VAU6	P31007
Q9W3N8	Q08012
Q9VLM6	Q24337
Q9V3H2	Q8MT58
P05205	Q9VYY7
P13060	Q8IRZ1
Q7PLI0	P19339
Q9W5R8	P13060
P08181	P05031
P08181	P13678
P08181	P19339
P08181	Q9VPY4
P08181	Q9VJS8
Q9W328	O61231
P11147	Q9VIY9
P17210	P05031
P08736	P05031
P08736	Q9W4J8
P15007	P19339
P48601	Q9VU13
P08736	Q9VU13
P05623	P10041
Q9VYF3	P29310
Q9V345	Q9W3N6
Q9W3N6	A8MZR2
P08736	Q9VWF5
Q9VWD5	P19339
Q7K0L4	Q9VDZ2
P29845	Q8T390
P49071	121150
172960	Q24337
Q9VNS1	Q960X8
Q9VNS1	Q9V345
A1Z7T0	151815
P13060	O16011
P49657	136574
A8MZR2	A1ZB08
Q7K0L4	Q9VAL8
O18640	Q9VBJ6
P07207	Q9VBI0
A1Z6K7	Q9VBH7
Q08012	85970
P05205	O18381
O02195	Q9VND4
P16371	Q9VGM5
P31007	A1Z813
P13060	A1Z813
Q8T088	P07666
Q9VXE0	Q9VRZ3
Q9VS36	P29310
P17210	Q9VS32
Q8I0P1	Q9VFH8
Q9XZ58	Q9VF82
Q9VCY3	Q9XZ58
Q9V3U5	Q9XZ58
O77135	O18413
P23803	O18413
P54623	O18413
Q9VAY6	O18413
Q9Y103	O18413
Q9VCE1	O18413
Q9VSE9	O18413
O18413	Q9VE51
Q9VKE7	P29349
Q24338	P49905
Q24338	Q9VPG7
P13060	Q9VZG2
Q9VZF4	Q9VAA1
Q9VZF4	O77430
Q9VZF4	Q9VV38
Q06559	Q9VZF4
P13060	P54356
A1ZBC3	Q08012
Q9NIV1	A1ZBD8
P84040	Q4QQB9
P29310	A1ZBG6
P02825	A1ZBG6
P13060	A1ZBG6
Q7K0L4	A1ZBG6
P05205	A1ZBG6
A1ZBG6	Q9V345
P13060	A1ZBM7
P48609	Q4V5L1
Q4V5L1	Q9V345
P11147	Q9VJB0
P84249	Q9VJB0
P08736	Q9VJA6
P00528	Q9VJA1
Q05856	Q9VJ53
P18431	Q9VI27
Q9W137	Q9V5C6
P12881	Q9V5C6
P08736	Q9VZ67
P08736	Q9VYW3
P08181	P08182
Q05856	P08182
Q9VKQ3	P08182
Q9VAT2	Q9VXE5
Q9VTE5	Q9VJP9
P05205	Q9V3Y7
P29310	E2QDA1
Q9V9J3	115988
Q9W3A1	Q7KNS3
P11346	Q9VQW4
P84040	Q9Y165
Q00168	Q8SXG7
Q24337	Q9V9X4
Q24210	Q9VPJ0
P02825	Q9W5A9
O18640	Q9W5A9
P08736	Q9W5A9
Q9W1C9	P29310
Q9NJH0	Q9VPK4
P02825	Q9VG82
O18640	Q9VG82
Q24337	Q95RR8
O18640	Q95RR8
P13060	Q9VNV0
P36872	Q9I7T7
Q9VGM2	Q9VG96
Q9VW45	Q9VG96
P11147	Q9VNV2
P13060	Q95TJ9
P49762	Q8SXU0
P18824	Q24178
Q7K0L4	P10035
P16371	P10035
P13060	P09087
Q9VCY3	P09087
P08736	Q9VG03
P13060	Q9VDU3
Q24338	Q9VHT8
P07207	Q9VHT8
P45890	O18413
Q9VNB0	Q9V345
P02825	Q9VAW8
P02825	Q7JVK6
Q9VN50	114481
P36872	Q9V4Z9
P02825	Q9VHL3
P02828	Q7YU81
Q9VBX3	P29310
Q9VBW6	Q9VLV5
Q7K4B3	Q9W221
Q7K4B3	Q8T3P5
Q9NJH0	141282
Q9NJH0	Q7JW07
Q9NJH0	Q9W4Q9
Q9NJH0	Q9W191
Q9NJH0	148007
Q9NJH0	Q9VM81
Q9NJH0	Q9VNH5
Q9NJH0	Q8SY59
Q9NJH0	Q9W326
Q9NJH0	A1ZBB4
Q9NJH0	P17886
Q9NJH0	Q9VNR2
Q9NJH0	P19339
Q9NJH0	O46052
Q9NJH0	O96827
Q9NJH0	Q9VD92
Q9NJH0	Q9VEA2
Q9NJH0	Q9VQS1
Q9NJH0	Q9VXK0
Q9NJH0	Q9VAU6
Q9VX05	Q9XYN7
Q9VIW8	Q9XYN7
Q8IPC2	Q9XYN7
Q9VZE4	Q9XYN7
Q9VIQ2	Q9XYN7
Q960Z0	Q9XYN7
P02835	Q9XYN7
P13060	Q9XYN7
Q9VSQ1	Q9XYN7
Q9VZY7	Q9XYN7
Q9VTH5	Q9XYN7
A1Z8L7	Q9XYN7
Q9XYN7	Q9VMV0
Q9VIK3	Q9XYN7
Q9VNA5	Q9VCT6
Q9VNA5	145959
Q9VNA5	Q7KML2
P17210	Q9V9X1
Q9Y125	P29310
Q9VA38	125769
Q9VA38	Q9VBP2
O02649	Q05856
P18053	Q0E8K5
P31007	Q5BI31
Q9VWI6	P00528
P19339	Q9VWI4
O62602	Q9V345
O02195	Q9VGB9
Q9VAY9	Q9VQE5
Q9VSA3	P19339
P52304	O16011
P52304	P18289
P52304	Q9VGD3
P52304	Q9W3Z4
P52304	Q9VB45
P52304	Q9VV43
P52304	P40301
P52304	Q9VHC3
Q8MSF5	P49657
P33244	P08736
P40304	Q9VFI3
P16371	Q9W4U0
P11147	Q9V3F2
Q24572	Q9VPV7
P11147	Q9XYW6
P11147	P40301
P11147	Q7JXC4
P11147	Q9VUQ1
P11147	Q5BI03
P11147	Q9W0B2
Q9VRV9	P11147
P11147	Q9VIJ0
P11147	P29413
Q9VYG2	P00528
P08736	Q9VYG2
Q9VTW3	Q08012
Q9VXE0	Q9VYG3
P12370	P54623
P00528	Q9Y117
P02516	Q9W4E2
P02518	Q7KNS3
P08630	Q9W171
O18412	Q9VFS8
Q9W3S4	Q9V345
P08736	O77460
O18640	Q9VM32
P00528	Q24323
Q9VBP3	P00528
P08736	Q9VBN9
Q9V345	Q9VRL0
P09491	P00528
Q05856	A1ZAU6
P18053	A1ZAU6
O16797	P00528
Q9VN50	Q9VPY4
Q9VCW6	Q05856
Q05856	Q9VV38
O02195	Q9VV38
Q9V345	Q8SZY7
Q7K0Y1	Q9VTU4
Q94899	Q9VPD5
P08736	Q9VBP2
P08736	Q9VSS2
O18640	Q8IMS8
Q9V3G7	A1ZB42
Q23972	Q7KNS3
O18640	P40301
P16371	Q9VPF9
P48601	Q9VFS8
P45437	Q05856
Q05856	Q9VD92
Q05856	Q9NCC3
Q05856	Q7YZ91
Q05856	Q9VVU4
Q9VSJ8	Q05856
Q05856	Q9VMQ8
Q9VS81	Q05856
Q05856	Q9VHG0
Q05856	Q8IRH8
Q9VMC0	Q05856
Q9VE17	Q9VH48
H1UUE3	Q9VH48
Q9W5X1	Q9VH48
Q9V3G7	Q9VKR4
Q9V3G7	Q9VW57
P49258	Q00168
Q9W512	Q9VH48
Q9VC79	P19339
P02825	Q9VTR2
O77260	P19339
O61443	Q9VLJ4
P16371	P05527
Q9W4P5	P29310
Q24547	P29310
Q8SY02	P29310
P29310	Q9VLT1
Q9W2S2	P29310
P29310	Q9VT19
P29310	Q9VFG3
P29310	P29349
Q8MSF5	P29310
P29310	P33244
P08570	P29310
Q9V3M9	P29310
P29310	A1ZB77
P29310	Q9VDJ8
P22464	P29310
Q9VSI6	P29310
Q9VUR1	P29310
P29310	Q9VXP3
Q95TJ6	P29310
Q9W0H1	P29310
Q05856	P20482
A1ZB58	P05661
P05661	A1Z7J1
P05661	Q7JW73
Q01642	P13678
P08175	P13678
P02825	P07666
O18640	P07666
Q05856	A1Z8D4
Q9VLJ5	Q960X8
Q00168	Q9VFK2
Q00168	Q7KW14
Q00168	Q9VLG9
Q00168	A1ZAU6
Q00168	Q9VME1
P02825	Q9VIV5
Q9V9J3	126729
Q7K180	P19339
Q7K180	Q9VFS8
Q05856	Q9VWQ6
Q9VMP0	Q9VLV5
Q9VMP0	Q7K0L4
A1Z7A5	P00528
P05205	Q95RV3
P11147	Q8IR79
Q7K2I4	Q9VLV5
P11147	Q9W3N7
Q9VSY2	Q24337
Q24337	106701
Q23985	Q24337
Q9VVN2	Q24337
Q960E4	Q24337
Q9V6B9	Q24337
P05303	Q9W379
P08736	Q24563
P02825	Q9V564
P02825	Q9VE69
P02825	Q8SZS0
P02825	Q9VU81
P02825	Q9VN49
P02825	Q86B87
P02825	Q9W4F9
P02825	A1ZBX4
P02825	Q9VBN9
P02825	Q9VRL7
P02825	A1ZAU6
Q9XYW6	P02825
Q9VPH6	P02825
P02825	Q9VTU0
P02825	P92208
P02825	Q7K0L7
P02825	Q9VEA2
P02825	Q8T3W6
P02825	Q9VHG0
P02825	Q9VUQ1
P02825	Q9VHA8
P02825	P07187
P02825	Q9VIJ0
P02825	Q86BJ3
P02825	Q9VAU6
Q9I7L0	Q9VFS8
Q9VZW1	P19339
O44783	Q9VH48
P17205	P13678
Q9VFF0	P13678
P13678	Q7K3Z6
Q9VPY2	P13678
Q9VQ00	P13678
Q24255	P13678
Q9XTL2	P13678
Q8T3W6	P13678
Q9V4E0	P19339
Q24338	P41046
Q9V727	Q24338
Q960X8	P68198
Q9VJY6	A8MZR2
Q9VN50	Q8MSX2
Q7K0Y1	Q27350
P16371	Q27350
Q24337	Q9VZ32
Q9VNP7	P00528
Q9VYA4	P19339
A1ZBW6	Q8T0S6
P11147	Q9VMA3
Q9NJH0	Q9W1H5
P08181	P07183
Q7K0L4	P07183
P07183	O44437
Q9VN50	P07183
Q9VTT9	Q8T0S6
Q8SX23	Q8T0S6
Q9VZF4	Q8T0S6
A1ZBE0	Q8T0S6
P55828	Q8T0S6
Q9W0Q4	Q8T0S6
P13469	Q8T0S6
Q8T053	Q8T0S6
Q4V5M2	Q8T0S6
Q9VBX5	Q8T0S6
P84040	Q8T0S6
Q8IP90	Q8T0S6
Q8T0S6	Q9VCR6
Q9U6R9	Q8T0S6
Q9VL18	Q8T0S6
Q8SX89	Q8T0S6
Q9XZ16	Q8T0S6
A1YK02	Q8T0S6
Q9VT69	Q8T0S6
Q8T0S6	O18640
Q9VUP0	Q8T0S6
Q8T0S6	Q0E9B7
P91660	Q8T0S6
Q9VXM1	Q8T0S6
Q9VNZ4	Q94899
Q9VNS0	P40417
P02825	Q9VM49
Q24371	Q9VH19
P52304	Q9VAQ1
Q9NJH0	Q8T0I9
P49762	Q9VM98
P05303	Q9VM98
Q9V675	Q9VM98
P11346	P29310
Q7K9Q9	P29310
Q9I7U4	P83967
P05661	P83967
Q24020	P83967
Q9I7U4	P18091
P05205	P45890
P16375	Q94899
Q7KLV9	Q94899
P34021	Q94899
P40417	Q8SWV4
P17210	P06605
P08181	P02833
P18431	Q961B0
Q9V407	Q961B0
P18431	P18824
Q9V407	P18824
Q9V407	Q6AWJ8
Q00168	P19107
P02299	Q27393
P36872	Q9V407
P18431	Q9V407
P51140	Q9V407
P54367	Q9V407
A1Z870	Q9V407
Q7KN62	P22745
Q9W1I2	P22745
P18475	P09081
P34082	Q5BIA5
P17210	Q24560
P48810	Q7KA80
P16371	Q960G9
P00528	P08630
P08181	Q03017
Q7KJV6	Q00168
O97102	Q00168
Q7KNM2	Q00168
P31007	Q00168
P02299	P23572
Q24472	P23573
P54733	P23573
P14785	P23573
Q08012	Q9XTN2
P18431	P19538
P19538	P12370
P16371	Q9U1H0
P15348	P08181
Q9VDS6	P08181
P05205	P08181
Q24536	P08181
P39770	P08181
P50887	P08181
Q24150	P08181
P13097	P08181
Q24175	P08181
O96863	P08181
Q24161	P08181
Q01989	Q9VJE5
P11346	Q7KNQ9
P11147	Q03751
P18475	P29349
Q7KIF8	P29349
Q08012	P29349
Q9VZZ9	P29349
P07207	P98081
Q08012	P98081
Q94527	P98149
Q94527	P15330
P12370	P15330
P29503	P10041
Q94902	P10041
P16371	P15330
O45030	P31007
Q9NFR7	P31007
P34082	P31007
P02828	P26019
Q94527	Q8IRY7
O44783	Q08012
Q7JNX6	Q08012
Q3YNB2	P51140
P18537	P51140
P40417	Q24324
Q24170	Q24324
P07207	Q23985
P16371	P02836
P26017	Q24338
P18431	P06602
P16371	P06602
P05661	P35554
P07207	Q24342
Q7KUA8	P33450
P22711	P16371
Q94517	P16371
Q24573	P16371
Q7KNM2	P16371
Q9VN10	P16371
P02299	P16371
Q02308	P16371
P20659	P02299
Q8IRW8	P02299
P05205	P02299
P26017	P02299
Q9V3I5	P02299
O02193	P84040
Q24151	Q24592
P11346	Q24592
Q24306	Q8T0S6
P19339	P48810
P41073	P48810
Q04047	P48810
P52304	P02828
P11346	P02828
P02299	Q9VKN7
P40417	P21525
Q8T0S7	P17210
P18105	P17210
P11346	Q24170
P07207	Q94902
O61443	O62602
P40417	Q8T9L5
Q9NFR7	O61267
O61443	Q8MSQ4
Q9I7U4	P05661
P40417	Q9VVW5
P40417	Q7KIF8
P09615	P07207
P18168	P07207
O02194	P07207
P05205	O16810
P05205	Q24168
O96681	Q6AWJ9
P52304	O16048
P20227	P26017
P47825	P26017
P35820	P26017
P18475	P11346
P18459	P12370
P81900	P12370
P40417	Q9W2F3
Q24106	P40417
Q9I7U4	Q8WS23
P49021	P18431
P18475	Q24080
P19339	Q5BI58
P19339	P43332
P05205	A1Z9S5
P05205	P20193
Q24562	P19339
Q94535	P19339
Q8IR23	P18475
Q24155	P18475
Q7KLV9	P83949
P83949	Q9NJH0
P83949	P51140
P11147	P83949
P17210	Q9VUG5
Q7JVI3	Q9VUG5
Q9W1Y8	P19339
Q7KNS3	Q9W191
P11147	Q9VC50
P02825	109477
Q9VVP5	Q9VH48
Q9VVP5	P49657
Q9VVG2	P29310
Q9VZF4	Q9VCK2
Q9VCS1	P29310
Q7JVI3	Q9VCS1
P13060	Q9VCT6
188086	P19339
P18475	Q9VPB8
P27398	P29310
O18413	Q9W0J2
P08736	P42207
Q05856	Q9VMS5
Q9VMY2	P19339
P13060	Q9VVY2
P84249	Q9VU22
P29310	Q9VTZ2
P08736	Q9VTM0
Q08012	Q9VTE0
Q9VWZ8	P08181
Q9VL21	P48609
O76136	P08181
O76136	P23573
Q8MRG8	P08181
P36872	Q7KJ69
P36872	P42003
P36872	Q7K306
Q9Y138	P49762
Q8SX67	P49657
P91668	P23573
Q9VPD2	P49762
Q7JXC4	P36872
Q9V3W7	P49762
P25008	P23573
Q9VCD5	P49657
Q9VTT4	P49657
Q9VRQ2	Q9XZ58
P12982	P23573
O17144	P23573
A1Z6V2	P49657
Q95TJ9	P23573
Q8MRQ2	P49657
P12370	Q24276
Q9VL27	P23573
Q9VZP3	P23573
P10734	P49657
O46070	P36872
Q95U38	P23573
Q9VKF2	P23573
Q9VED4	P23573
Q9VYF9	P49657
B6VQA1	P23573
Q9VL71	P49762
Q9VQF5	P49762
Q9VR54	P23573
Q9V490	P49762
Q9V490	P23573
O44117	P49657
A1ZBT6	P49762
P07548	P52304
P07548	P23573
P07548	O02195
Q5U154	P49762
Q8IPI7	P49762
P49657	Q8TA44
Q9VC60	P49762
P11147	Q9VRQ2
P49762	Q9Y145
P49762	Q9VRQ2
P49762	Q961V9
Q24564	P49657
P49762	O77430
Q7KML2	P49657
Q9Y138	P23573
Q963E5	P08181
B4F5R3	P49762
Q9VIK6	P49657
P49762	Q7M3M8
Q05192	P49657
Q8MR83	P49762
Q9VVE5	P08181
P34021	P23573
Q8MSU2	P49762
Q9VZ07	P49657
Q8MZI0	P49762
Q8SZT7	P49657
Q8SZT7	P49762
Q9VPY4	P49762
Q9VGH7	P49762
P49657	Q9VFH9
Q9W263	P49657
Q9VWE7	P49762
Q9VGI6	P49657
Q9V468	P49762
Q86BP9	P49762
Q9W221	P48609
Q24337	Q9VLR9
E2QCP0	P48609
P23573	Q9VU23
Q9W022	P48609
Q7KNM2	O61267
Q9W0Y0	P48609
P13238	P23573
Q8SZP2	P48609
Q8SZP2	P49762
Q9W1P1	P48609
Q9VNE1	P48609
Q9VNE1	P23573
Q8SYU4	Q868J0
Q8SYU4	Q9VIH1
Q8SYU4	P48609
Q8SYU4	P14785
Q9VZP3	Q8SYU4
Q8SYU4	Q9V9R2
Q8SYU4	Q8SYZ4
Q8SYU4	Q9VD82
Q8SYU4	Q961D1
Q8SYU4	O17144
Q8SYU4	P23573
Q8SYU4	O61661
Q8SYU4	P91668
Q8SYU4	Q95TP4
Q8SYU4	Q24190
Q8IMG8	P48609
Q9VL21	P23573
O76136	P48609
O76136	P49762
Q9Y138	P48609
97544	P48609
97544	P49657
A1Z6E0	P23573
O46084	P23573
P20009	P48609
P20009	P49657
O76932	P49762
P12982	O61267
P12982	P49762
Q9VS36	P49657
Q9VT28	P23573
Q7K306	P23573
Q27297	P48609
Q27297	P23573
Q27297	P49657
Q27297	P49762
Q9VRQ4	P48609
P48609	Q9VL27
Q961D1	P49657
Q9VZP3	P48609
O46070	P48609
Q95U38	P48609
Q95U38	P49657
P49657	Q9VED4
P49657	Q9NGC3
Q9VAE7	P49657
B6VQA1	O61267
B6VQA1	P49762
Q9I7Z8	P49762
Q9VL71	O61267
P25008	P49657
Q8MZC0	P49657
Q9VFQ3	P48609
Q9VR54	P48609
Q9VR54	P49657
Q9VH36	P49657
Q9VKH0	P48609
P49657	Q9VKH0
Q7K4E0	P49657
Q24134	P49657
Q9Y149	P49657
P07548	P48609
Q8MSF1	P49657
P54733	P48609
138705	P49657
P49762	O17049
P49762	Q9V9R2
P49762	Q9VJ98
P49762	O61267
P49762	P49657
P49762	Q9V475
P54733	P49657
Q9VBP9	P48609
P17886	P48609
Q7KML2	P48609
Q8T4F7	P48609
Q8MRU2	P49657
Q9VXA3	P49657
Q9VGK8	P48609
Q9Y149	P23573
Q8T9L6	P48609
P91943	P48609
Q9W5A9	P49657
P34021	P48609
P34021	P49657
Q8MZI0	P49657
Q0E8J0	P49657
Q9VGI6	P49762
Q9V468	O61267
Q95T42	P49657
Q9VFL9	P49762
Q9VDA0	P49657
Q9VWE6	P49657
P91626	Q9VIH1
Q9VPD2	P48609
Q9VFS8	Q7KNM2
P49762	Q95TZ1
Q9V3K7	P36872
Q9VB23	P23573
Q9VH02	P23573
Q961X5	P36872
Q9VKW8	P23573
Q7K1V0	P23573
Q7K0S9	P23573
P84040	FBgn0000363
FBgn0041605	P84040
P84040	FBgn0026144
P84040	FBgn0016075
P84040	FBgn0000299
FBgn0002932	P84040
FBgn0004863	P84040
FBgn0004882	P84040
P84040	FBgn0014018
FBgn0004837	P84040
6655849	P84040
P05205	Q9VDK5
Q8IN81	P05205
O97159	Q24572
Q0E8J0	Q24572
Q9VR25	P34082
P34082	Q59E14
Q7PLK0	Q7KN62
Q9VQ91	Q7KN62
Q9VFS8	Q9V637
Q9VFS8	Q9XZC3
P18053	Q9V637
P12881	Q9V637
Q9XZJ4	Q9V637
Q9V5C6	Q9V637
P26017	Q03017
P18431	O77059
Q7KRW1	Q9XZ58
Q9VA38	Q45VV3
P29310	Q45VV3
Q9VEX9	Q24338
Q9VI63	P05205
Q95RA8	Q9VA38
Q24564	Q9VA38
Q8T0S6	Q9VA38
